"Population","Location","VisitID","PlantID","IDtrackOLD","IDtrack","Date","year","ThisYearLabel","Latitude","Longitude","Altitude","CorrectedLatitude","CorrectedLongitude","CorrectedAltitude","Easting","Northing","DistEastofCentre","DistNorthOfCentre","HorzErr","VertErr","GPS","Comments","Alive","Perennial","FloweringStage","NumFloweringStems","NumVegetativeStems","EstimFlowers","FirstFlowered","StemHeight","LeavesToFirstFlower","TotalFlowers","TotalFruit","CutStems","AbortedFlowers","Red","Yellow","phenoCat","LocationManualUpdater","GPS_horz_corr_m","GPS_alt_corr_m","Direction_from_GPS"
"Planoles","0",0,"T4562","25909_T4562","2015_00088_T4562",2015-07-02,"2015",1,42.312792,2.147822984,1042.251,0,0,0,429771.163053306,4684857.70431714,0,0,0,0,1,"","Alive","yes",0,3,1,8,"> 2 weeks ago",61,14,0,0,2,0,0,0,0,"0",1,2.8,"NE"
"Planoles","0",0,"T4552","25910_T4552","2015_00089_T4552",2015-07-02,"2015",1,42.31279452,2.147816823,1041.904,0,0,0,429770.658116799,4684857.98921218,0,0,0,0,1,"","Alive","yes",0,6,0,27,"> 2 weeks ago",180,21,0,0,0,0,0,0,0,"0",1,2.5,"NE"
"Planoles","0",0,"T4552","25911_T4552","2015_00090_T4552",2015-07-02,"2015",1,42.31279452,2.147816823,1041.904,0,0,0,429770.658116799,4684857.98921218,0,0,0,0,1,"","Alive","yes",0,6,0,27,"> 2 weeks ago",180,21,0,0,0,0,0,0,0,"0",1,2.5,"NE"
"Planoles","0",0,"T4545","25912_T4545","2015_00091_T4545",2015-07-02,"2015",1,42.31280536,2.147808331,1040.087,0,0,0,429769.970329219,4684859.19985121,0,0,0,0,1,"","Alive","yes",0,10,0,3,"> 2 weeks ago",105,21,0,0,0,0,0,0,0,"0",1,3,"NE"
"Planoles","0",0,"T4545","25913_T4545","2015_00092_T4545",2015-07-02,"2015",1,42.31280536,2.147808331,1040.087,0,0,0,429769.970329219,4684859.19985121,0,0,0,0,1,"","Alive","yes",0,10,0,3,"> 2 weeks ago",105,21,0,0,0,0,0,0,0,"0",1,3,"NE"
"Planoles","CLINE GAPS",0,"T0209","25914_T0209","2015_00093_T0209",2015-06-08,"2015",1,42.31284026,2.184617845,1040.233,0,0,0,432803.539017337,4684833.35550045,0,0,0,0,1,"","Alive","no",0,5,0,4,"> 2 weeks ago",0,19,0,0,0,0,0,0,0,"0",0,0,"West"
"Planoles","CLINE GAPS",0,"T0203","25915_T0203","2015_00094_T0203",2015-06-08,"2015",1,42.31284545,2.18462315,1036.764,0,0,0,432803.981731641,4684833.9275887,0,0,0,0,1,"","Alive","yes",0,2,0,3,"< 1 week",0,16,0,0,0,0,0,0,0,"0",0,0,"West"
"Planoles","PardinesHigh",0,"T0205","25916_T0205","2015_00095_T0205",2015-06-08,"2015",1,42.31287981,2.184661833,1038.758,0,0,0,432807.206207152,4684837.71224417,0,0,0,0,1,"","","no",0,2,1,5,"< 2 weeks",0,8,0,0,0,0,0,0,0,"0",0,0,"East"
"Planoles","Pardines_Farm",0,"T0220","25917_T0220","2015_00096_T0220",2015-06-08,"2015",1,42.31288646,2.176188863,989.325,0,0,0,432108.943261119,4684845.17497177,0,0,0,0,1,"","Alive","no",0,2,0,5,"< 1 week",0,18,0,0,0,0,0,0,0,"0",0.5,0,"North"
"Planoles","Pardines_Farm",0,"T0204","25918_T0204","2015_00097_T0204",2015-06-08,"2015",1,42.31292819,2.176296173,989.03,0,0,0,432117.831683975,4684849.72290692,0,0,0,0,1,"","Alive","no",0,2,0,3,"< 1 week",0,21,0,0,0,0,0,0,0,"0",0.2,-0.1,"South"
"Planoles","CLINE GAPS",0,"T0219","25919_T0219","2015_00098_T0219",2015-06-08,"2015",1,42.31293026,2.176313449,989.718,0,0,0,432119.257648459,4684849.93897194,0,0,0,0,1,"","Alive","no",0,1,0,2,"< 1 week",0,12,0,0,0,0,0,0,0,"0",0,0,""
"Planoles","CLINE GAPS",0,"T0208","25920_T0208","2015_00099_T0208",2015-06-08,"2015",1,42.31293251,2.176291713,988.18,0,0,0,432117.468771549,4684850.20613997,0,0,0,0,1,"","Alive","yes",0,4,2,5,"< 1 week",0,14,0,0,0,0,0,0,0,"0",0,0,"West"
"Planoles","Pardines_Farm",0,"T0212","25921_T0212","2015_00100_T0212",2015-06-08,"2015",1,42.31294807,2.176308735,989.694,0,0,0,432118.888300465,4684851.92028354,0,0,0,0,1,"","Alive","no",0,6,0,5,"< 2 weeks",0,27,0,0,0,0,0,0,0,"0",1,0,"South"
"Planoles","MP13",0,"T0234","25922_T0234","2015_00101_T0234",2015-06-08,"2015",1,42.31300059,2.146660183,1046.36,0,0,0,429675.566909032,4684881.82553411,0,0,0,0,1,"","Alive","no",0,3,0,0,"> 2 weeks ago",0,25,0,0,0,0,0,0,0,"0",0.5,0.2,"North"
"Planoles","MP13",0,"T0223","25923_T0223","2015_00102_T0223",2015-06-08,"2015",1,42.31300335,2.146655855,1046.62,0,0,0,429675.213305317,4684882.13557012,0,0,0,0,1,"","Alive","no",0,1,0,4,"< 2 weeks",0,25,0,0,0,0,0,0,0,"0",1,0.5,"North"
"Planoles","Pardines_Farm",0,"T0201","25924_T0201","2015_00103_T0201",2015-06-08,"2015",1,42.31301516,2.17620429,988.507,0,0,0,432110.352948124,4684859.45300242,0,0,0,0,1,"","Alive","yes",0,6,1,25,"< 2 weeks",0,17,0,0,0,0,0,0,0,"0",1,2,"NW"
"Planoles","CLINE GAPS",0,"T0218","25925_T0218","2015_00104_T0218",2015-06-08,"2015",1,42.3130352,2.17727699,993.479,0,0,0,432198.777083862,4684860.82301737,0,0,0,0,1,"","Alive","no",0,1,0,3,"< 1 week",0,26,0,0,0,0,0,0,0,"0",2,-0.5,"South"
"Planoles","CLINE GAPS",0,"T0207","25926_T0207","2015_00105_T0207",2015-06-08,"2015",1,42.3130635,2.176299558,991.088,0,0,0,432118.256059261,4684864.74449227,0,0,0,0,1,"","Alive","no",0,3,0,4,"< 2 weeks",NA,13,0,0,0,0,0,0,0,"0",1,0.8,"West"
"Planoles","MP13",0,"T0224","25927_T0224","2015_00106_T0224",2015-06-08,"2015",1,42.31306763,2.146730328,1045.909,0,0,0,429681.422288926,4684889.2114349,0,0,0,0,1,"","Alive","no",0,1,0,1,"Just opened",0,20,0,0,0,0,0,0,0,"0",1,0.1,"North"
"Planoles","MP13",0,"T0238","25928_T0238","2015_00107_T0238",2015-06-08,"2015",1,42.31306837,2.146737999,1047.618,0,0,0,429682.055289911,4684889.28726344,0,0,0,0,1,"","Alive","no",0,1,1,3,"Just opened",0,16,0,0,0,0,0,0,0,"0",0.5,0.1,"NW"
"Planoles","MP13",0,"T0225","25929_T0225","2015_00108_T0225",2015-06-08,"2015",1,42.31307143,2.14675708,1047.073,0,0,0,429683.631186606,4684889.61126846,0,0,0,0,1,"","","no",0,5,0,12,"> 2 weeks ago",0,12,0,0,0,0,0,0,0,"0",2,0.2,"NE"
"Planoles","MP13",0,"T0187","25930_T0187","2015_00109_T0187",2015-06-08,"2015",1,42.31307559,2.146755739,1046.528,0,0,0,429683.525304018,4684890.07428666,0,0,0,0,1,"","Alive","yes",0,1,1,5,"< 1 week",0,10,0,0,0,0,0,0,0,"0",2,0.5,"North"
"Planoles","CLINE GAPS",0,"T0192","25931_T0192","2015_00110_T0192",2015-06-08,"2015",1,42.31308172,2.146781271,1047.319,0,0,0,429685.636253224,4684890.733843,0,0,0,0,1,"","Alive","no",0,1,0,1,"> 2 weeks ago",0,23,0,0,0,0,0,0,0,"0",2,1,"North"
"Planoles","MP13",0,"T0228","25932_T0228","2015_00111_T0228",2015-06-08,"2015",1,42.31309366,2.1467911,1045.943,0,0,0,429686.459565093,4684892.05149344,0,0,0,0,1,"","Alive","no",0,2,0,5,"< 2 weeks",0,9,0,0,0,0,0,0,0,"0",1,0,"North"
"Planoles","MP13",0,"T0235","25933_T0235","2015_00112_T0235",2015-06-08,"2015",1,42.31310503,2.146780658,1046.181,0,0,0,429685.611683409,4684893.32260124,0,0,0,0,1,"","Alive","no",0,3,0,0,"> 2 weeks ago",0,19,0,0,0,0,0,0,0,"0",1,0.6,"North"
"Planoles","PardinesHigh",0,"T0210","25934_T0210","2015_00113_T0210",2015-06-08,"2015",1,42.31319711,2.184752528,1040.127,0,0,0,432815.018007409,4684872.87236832,0,0,0,0,1,"","Alive","yes",0,1,0,4,"< 1 week",0,20,0,0,1,0,0,0,0,"0",1,0.7,"North"
"Par","PardinesHigh",0,"T0213","25935_T0213","2015_00114_T0213",2015-06-08,"2015",1,42.31329421,2.184938446,1039.074,0,0,0,432830.4429641,4684883.50721218,0,0,0,0,1,"","Alive","yes",0,17,2,81,"> 2 weeks ago",0,26,0,0,3,0,0,0,0,"0",1,-0.5,"South"
"Planoles","MP13",0,"T0587","25936_T0587","2015_00115_T0587",2015-06-10,"2015",1,42.31332147,2.147215605,1067.138,0,0,0,429721.697030829,4684916.99599269,0,0,0,0,1,"","","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",0,0,""
"Planoles","MP13",0,"T0596","25937_T0596","2015_00116_T0596",2015-06-10,"2015",1,42.31335949,2.147210049,1068.133,0,0,0,429721.281457553,4684921.22217391,0,0,0,0,1,"","","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",0,0,""
"Planoles","MP13",0,"T0582","25938_T0582","2015_00117_T0582",2015-06-10,"2015",1,42.31336524,2.14718119,1071.718,0,0,0,429718.909558299,4684921.88446353,0,0,0,0,1,"","","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",1.8,1.2,"NW"
"Planoles","MP13",0,"T0588","25939_T0588","2015_00118_T0588",2015-06-10,"2015",1,42.31338748,2.147182712,1071.086,0,0,0,429719.059733397,4684924.35264986,0,0,0,0,1,"","","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",0,0,""
"Planoles","0",0,"T0581","25940_T0581","2015_00119_T0581",2015-06-10,"2015",1,42.31340416,2.14720997,1074.711,0,0,0,429721.324648253,4684926.18222248,0,0,0,0,1,"","","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",0,0,""
"Par","PardinesHigh",0,"T0216","25941_T0216","2015_00120_T0216",2015-06-08,"2015",1,42.31340729,2.184970402,1045.556,0,0,0,432833.196732373,4684896.03794381,0,0,0,0,1,"","Alive","yes",0,1,0,3,"Just opened",0,20,0,0,0,0,0,0,0,"0",0,0,"West"
"Planoles","MP13",0,"T0711","25942_T0711","2015_00121_T0711",2015-06-10,"2015",1,42.3135512,2.148012223,1075.995,0,0,0,429787.602465683,4684941.84679001,0,0,0,0,1,"","","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",0,0,""
"Planoles","MP13",0,"T0719","25943_T0719","2015_00122_T0719",2015-06-10,"2015",1,42.31355199,2.148162553,1076.495,0,0,0,429799.992141211,4684941.81049481,0,0,0,0,1,"","","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",1,1,"East"
"Planoles","MP13",0,"T0598","25944_T0598","2015_00123_T0598",2015-06-10,"2015",1,42.3135538,2.147119509,1068.001,0,0,0,429714.036190064,4684942.87237328,0,0,0,0,1,"","","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",0,0,""
"Planoles","MP13",0,"T0717","25945_T0717","2015_00124_T0717",2015-06-10,"2015",1,42.31355859,2.148169567,1076.338,0,0,0,429800.577504828,4684942.53754757,0,0,0,0,1,"","","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",0.8,1,"East"
"Planoles","MP13",0,"T0712","25946_T0712","2015_00125_T0712",2015-06-10,"2015",1,42.31356846,2.147979347,1074.441,0,0,0,429784.912318884,4684943.79039716,0,0,0,0,1,"","","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",0,0,""
"Planoles","MP13",0,"T0707","25947_T0707","2015_00126_T0707",2015-06-10,"2015",1,42.31358065,2.147893393,1074.847,0,0,0,429777.842345335,4684945.21484719,0,0,0,0,1,"","","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",0,0,""
"Planoles","MP13",0,"T0600","25948_T0600","2015_00127_T0600",2015-06-10,"2015",1,42.31358133,2.147105198,1072.418,0,0,0,429712.887445408,4684945.94101695,0,0,0,0,1,"","","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",0,0,""
"Planoles","MP13",0,"T0704","25949_T0704","2015_00128_T0704",2015-06-10,"2015",1,42.31358148,2.147921607,1074.85,0,0,0,429780.168401903,4684945.2837273,0,0,0,0,1,"","","no",0,0,0,0,"",0,0,0,0,0,0,0,0,0,"0",0,0,""
